name,sname,m,n,K_f,K_l,K_q,K_s,fp,fd,fL,fU,fU-fL,mu_fU_fL,ts,tL,tL/ts,tU,tU/ts
arch0,mosek,174,13215,0,1,0,1,-0.56652,-0.56652,-0.56652,-0.55855,0.0079643,0.0079643,0.34048,0.22714,0.66711,0.53271,1.5646
arch2,mosek,174,13215,0,1,0,1,-0.67152,-0.67152,-0.67152,-0.65845,0.013069,0.013069,0.27259,0.012758,0.046802,0.31668,1.1617
arch4,mosek,174,13215,0,1,0,1,-0.97263,-0.97263,-0.97263,-0.9553,0.017336,0.017336,0.28501,0.012498,0.043851,0.32731,1.1484
arch8,mosek,174,13215,0,1,0,1,-7.057,-7.057,-7.057,-7.0349,0.022073,0.0031327,0.32988,0.012114,0.036723,0.37502,1.1369
control10,mosek,1326,6325,0,0,0,1,-38.5331,-38.5331,-38.5331,-38.5296,0.0034431,8.9357e-05,8.7439,0.019341,0.0022119,8.782,1.0044
control11,mosek,1596,7645,0,0,0,1,-31.9587,-31.9587,-31.9587,-31.9526,0.0061071,0.00019111,11.7464,0.015449,0.0013152,35.5159,3.0236
control1,mosek,21,70,0,0,0,1,-17.7846,-17.7846,-17.7846,-17.7846,1.8089e-05,1.0171e-06,0.025311,0.010479,0.41401,0.045251,1.7878
control2,mosek,66,265,0,0,0,1,-8.3,-8.3,-8.3,-8.3,2.5268e-05,3.0444e-06,0.034213,0.006893,0.20147,0.099928,2.9208
control3,mosek,136,585,0,0,0,1,-13.6333,-13.6333,-13.6333,-13.6331,0.00020233,1.4841e-05,0.083118,0.007451,0.089644,0.10614,1.2769
control4,mosek,231,1030,0,0,0,1,-19.7943,-19.7943,-19.7943,-19.7933,0.000956,4.8298e-05,0.19858,0.007658,0.038565,0.2238,1.127
control5,mosek,351,1600,0,0,0,1,-16.8836,-16.8836,-16.8836,-16.8823,0.0013476,7.9821e-05,0.43985,0.008664,0.019697,0.48038,1.0921
control6,mosek,496,2295,0,0,0,1,-37.3045,-37.3045,-37.3045,-37.3029,0.0015639,4.1922e-05,0.90112,0.010292,0.011421,0.97716,1.0844
control7,mosek,666,3115,0,0,0,1,-20.6251,-20.6251,-20.6251,-20.6226,0.0025161,0.000122,1.7514,0.01151,0.0065719,1.8039,1.03
control8,mosek,861,4060,0,0,0,1,-20.2864,-20.2864,-20.2864,-20.2829,0.003483,0.00017171,2.6543,0.012518,0.0047162,2.6833,1.0109
control9,mosek,1081,5130,0,0,0,1,-14.6755,-14.6755,-14.6755,-14.6688,0.0067566,0.00046051,3.746,0.013439,0.0035875,3.8607,1.0306
equalG11,mosek,801,321201,0,0,0,1,-629.1553,-629.1553,-Inf,-626.1561,Inf,NaN,36.6102,34.689,0.94752,27.1958,0.74285
equalG51,mosek,1001,501501,0,0,0,1,-4005.6014,-4005.6014,-Inf,-3998.4596,Inf,NaN,69.5634,70.2008,1.0092,59.4228,0.85422
gpp100,mosek,101,5050,0,0,0,1,44.9435,44.9435,44.9435,Inf,Inf,NaN,0.35721,0.009583,0.026827,0.31122,0.87126
gpp124-1,mosek,125,7750,0,0,0,1,7.3431,7.3431,7.3431,Inf,Inf,NaN,0.44417,0.50625,1.1398,0.49146,1.1065
gpp124-2,mosek,125,7750,0,0,0,1,46.8623,46.8623,46.8623,Inf,Inf,NaN,0.34581,0.010976,0.03174,0.49303,1.4257
gpp124-3,mosek,125,7750,0,0,0,1,153.0141,153.0141,153.0141,Inf,Inf,NaN,0.48128,0.010277,0.021353,0.51743,1.0751
gpp124-4,mosek,125,7750,0,0,0,1,418.9876,418.9876,418.9876,Inf,Inf,NaN,0.42966,0.015224,0.035433,0.48747,1.1346
gpp250-1,mosek,251,31375,0,0,0,1,15.4449,15.4449,-Inf,Inf,Inf,NaN,2.7967,2.5702,0.91902,4.3077,1.5403
gpp250-2,mosek,251,31375,0,0,0,1,81.8689,81.8689,81.869,Inf,Inf,NaN,2.8832,2.9258,1.0147,2.4055,0.83431
gpp250-3,mosek,251,31375,0,0,0,1,303.5393,303.5393,303.5393,Inf,Inf,NaN,2.5758,0.022112,0.0085845,2.1466,0.83339
gpp250-4,mosek,251,31375,0,0,0,1,747.3281,747.3281,747.3281,Inf,Inf,NaN,2.2391,0.0307,0.013711,2.9478,1.3165
gpp500-1,mosek,501,125250,0,0,0,1,25.3205,25.3205,-Inf,Inf,Inf,NaN,11.086,11.6491,1.0508,13.4698,1.215
gpp500-2,mosek,501,125250,0,0,0,1,156.0603,156.0603,-Inf,Inf,Inf,NaN,12.6062,11.8193,0.93758,11.6933,0.92758
gpp500-3,mosek,501,125250,0,0,0,1,513.0176,513.0176,-Inf,Inf,Inf,NaN,11.4648,13.5769,1.1842,12.7164,1.1092
gpp500-4,mosek,501,125250,0,0,0,1,1567.0187,1567.0187,1567.0187,Inf,Inf,NaN,13.7458,0.068428,0.0049781,12.7692,0.92895
hinf10,mosek,21,66,0,0,0,1,-108.7148,-108.7145,-108.7145,Inf,Inf,NaN,0.029691,0.011934,0.40194,0.047663,1.6053
hinf11,mosek,31,97,0,0,0,1,-65.8643,-65.8641,-65.8641,Inf,Inf,NaN,0.040408,0.010481,0.25938,0.062885,1.5563
hinf12,mosek,43,120,0,0,0,1,-1.417e-13,-1.1471e-13,-Inf,Inf,Inf,NaN,0.03743,0.18423,4.922,0.59875,15.9966
hinf13,mosek,57,178,0,0,0,1,-44.3448,-44.3447,-Inf,Inf,Inf,NaN,0.081584,0.11255,1.3796,0.11867,1.4546
hinf14,mosek,73,227,0,0,0,1,-12.9905,-12.9905,-12.9905,Inf,Inf,NaN,0.085149,0.015984,0.18772,0.11862,1.3931
hinf15,mosek,91,273,0,0,0,1,-24.0013,-23.9991,-23.9991,Inf,Inf,NaN,0.063041,0.010879,0.17257,0.12965,2.0566
hinf1,mosek,13,41,0,0,0,1,-2.0326,-2.0326,-2.0326,Inf,Inf,NaN,0.02055,0.010843,0.52764,0.044314,2.1564
hinf2,mosek,13,51,0,0,0,1,-10.9672,-10.9672,-10.9672,-10.9421,0.02505,0.0022867,0.026534,0.018821,0.70932,0.052954,1.9957
hinf3,mosek,13,51,0,0,0,1,-56.9409,-56.9409,-56.9409,Inf,Inf,NaN,0.02615,0.01235,0.47228,0.056758,2.1705
hinf4,mosek,13,51,0,0,0,1,-274.7644,-274.7643,-274.7643,Inf,Inf,NaN,0.017227,0.01133,0.65769,0.17425,10.1148
hinf5,mosek,13,51,0,0,0,1,-362.2841,-362.2816,-362.2816,Inf,Inf,NaN,0.02322,0.012469,0.53699,0.042438,1.8276
hinf6,mosek,13,51,0,0,0,1,-448.9296,-448.9296,-448.9291,Inf,Inf,NaN,0.029823,0.061047,2.047,0.068229,2.2878
hinf7,mosek,13,51,0,0,0,1,-390.8145,-390.8143,-Inf,Inf,Inf,NaN,0.026104,0.049407,1.8927,0.062141,2.3805
hinf8,mosek,13,51,0,0,0,1,-116.1462,-116.1462,-116.1462,Inf,Inf,NaN,0.038204,0.016119,0.42192,0.1184,3.0992
hinf9,mosek,13,51,0,0,0,1,-236.2492,-236.2492,-236.2493,-236.2492,0.0001196,5.0625e-07,0.023289,0.058858,2.5273,0.092727,3.9816
infd1,mosek,10,465,0,0,0,1,-5.4727e-16,0.71026,-Inf,Inf,Inf,NaN,0.02565,0.35646,13.897,0.26396,10.2908
infd2,mosek,10,465,0,0,0,1,2.9349e-16,1.2583,-Inf,Inf,Inf,NaN,0.018847,0.32448,17.2166,0.22885,12.1424
infp1,mosek,10,465,0,0,0,1,-15.5453,9.154e-13,-Inf,-23.1614,Inf,NaN,0.011506,0.26071,22.6587,0.030502,2.651
infp2,mosek,10,465,0,0,0,1,-15.7222,1.2641e-14,-Inf,-16.2586,Inf,NaN,0.011405,0.26963,23.641,0.032704,2.8675
maxG11,mosek,800,320400,0,0,0,1,-629.1646,-629.1646,-629.166,-629.1646,0.001314,2.0885e-06,7.2389,7.4222,1.0253,0.24585,0.033962
maxG32,mosek,2000,2001000,0,0,0,1,-1567.6374,-1567.6374,-1567.6702,-1567.6374,0.032725,2.0875e-05,99.1029,110.223,1.1122,1.8407,0.018573
maxG51,mosek,1000,500500,0,0,0,1,-4006.2556,-4006.2553,-4006.2592,-4006.2553,0.0038297,9.5593e-07,14.1237,14.9908,1.0614,16.1505,1.1435
maxG55,mosek,5000,12502500,0,0,0,1,-12869.8663,-12869.8656,-12869.8987,-12869.8659,0.032763,2.5457e-06,1590.3367,1634.0983,1.0275,26.3243,0.016553
maxG60,mosek,7000,24503500,0,0,0,1,-15222.2679,-15222.2677,-15222.2789,-15222.2678,0.011067,7.2704e-07,3462.2646,3695.6537,1.0674,61.2672,0.017696
mcp100,mosek,100,5050,0,0,0,1,-226.1573,-226.1573,-226.1574,-226.1573,7.4282e-05,3.2845e-07,0.060148,0.081154,1.3492,0.088454,1.4706
mcp124-1,mosek,124,7750,0,0,0,1,-141.9905,-141.9905,-141.9905,-141.9905,2.2755e-05,1.6026e-07,0.085156,0.11017,1.2938,0.014414,0.16927
mcp124-2,mosek,124,7750,0,0,0,1,-269.8802,-269.8802,-269.8802,-269.8802,4.9015e-05,1.8162e-07,0.085509,0.11149,1.3039,0.12057,1.41
mcp124-3,mosek,124,7750,0,0,0,1,-467.7501,-467.7501,-467.7502,-467.7501,4.43e-05,9.4708e-08,0.084824,0.11181,1.3182,0.11956,1.4095
mcp124-4,mosek,124,7750,0,0,0,1,-864.4119,-864.4119,-864.4119,-864.4119,7.054e-05,8.1605e-08,0.086124,0.11409,1.3247,0.12109,1.406
mcp250-1,mosek,250,31375,0,0,0,1,-317.2643,-317.2643,-317.2644,-317.2643,5.3406e-05,1.6833e-07,0.3784,0.42422,1.1211,0.028321,0.074844
mcp250-2,mosek,250,31375,0,0,0,1,-531.9301,-531.9301,-531.9304,-531.9301,0.00030945,5.8175e-07,0.36014,0.42088,1.1687,0.028266,0.078486
mcp250-3,mosek,250,31375,0,0,0,1,-981.1726,-981.1726,-981.1727,-981.1726,0.00013162,1.3415e-07,0.34198,0.40233,1.1765,0.41871,1.2244
mcp250-4,mosek,250,31375,0,0,0,1,-1681.9601,-1681.9601,-1681.9604,-1681.9601,0.00025368,1.5083e-07,0.35194,0.40582,1.1531,0.41793,1.1875
mcp500-1,mosek,500,125250,0,0,0,1,-598.1485,-598.1485,-598.1487,-598.1485,0.00019942,3.3339e-07,1.9475,2.129,1.0932,0.072319,0.037134
mcp500-2,mosek,500,125250,0,0,0,1,-1070.0568,-1070.0567,-1070.0571,-1070.0567,0.00031784,2.9703e-07,1.8179,1.996,1.098,2.0121,1.1068
mcp500-3,mosek,500,125250,0,0,0,1,-1847.97,-1847.97,-1847.9708,-1847.97,0.00079013,4.2757e-07,1.976,2.5389,1.2849,2.544,1.2874
mcp500-4,mosek,500,125250,0,0,0,1,-3566.7381,-3566.738,-3566.7385,-3566.738,0.00051377,1.4404e-07,2.3562,2.4345,1.0332,0.078075,0.033136
qap10,mosek,1021,5151,0,0,0,1,1092.5964,1092.5964,1092.5964,Inf,Inf,NaN,1.016,0.010059,0.0099006,1.5555,1.531
qap5,mosek,136,351,0,0,0,1,436,436,436,Inf,Inf,NaN,0.021397,0.005714,0.26705,0.16401,7.6653
qap6,mosek,229,703,0,0,0,1,381.4371,381.4372,381.4372,Inf,Inf,NaN,0.077519,0.005048,0.06512,0.12593,1.6245
qap7,mosek,358,1275,0,0,0,1,424.8172,424.8172,424.8172,Inf,Inf,NaN,0.22248,0.007049,0.031683,0.24991,1.1233
qap8,mosek,529,2145,0,0,0,1,756.9489,756.949,756.949,Inf,Inf,NaN,0.33838,0.007821,0.023113,0.44054,1.3019
qap9,mosek,748,3403,0,0,0,1,1409.9311,1409.9311,1409.9311,Inf,Inf,NaN,0.62112,0.01182,0.01903,0.80367,1.2939
qpG11,mosek,800,1280800,0,0,0,1,-2448.6591,-2448.6591,-2448.6597,-2448.659,0.00072038,2.9419e-07,53.0737,54.1542,1.0204,53.1302,1.0011
qpG51,mosek,1000,2001000,0,0,0,1,-11817.9998,-11817.9998,-11818.0001,-11817.9993,0.00078795,6.6674e-08,139.5251,146.7011,1.0514,147.749,1.0589
ss30,mosek,132,43497,0,1,0,1,-20.2395,-20.2395,-20.2395,Inf,Inf,NaN,1.3619,0.028977,0.021277,1.1519,0.84584
theta1,mosek,104,1275,0,0,0,1,-23,-23,-23,-23,3.0069e-06,1.3074e-07,0.033796,0.045554,1.3479,0.058271,1.7242
theta2,mosek,498,5050,0,0,0,1,-32.8792,-32.8792,-32.8792,-32.8791,6.9992e-05,2.1288e-06,0.18043,0.20627,1.1432,0.21308,1.181
theta3,mosek,1106,11325,0,0,0,1,-42.167,-42.167,-42.167,-42.1669,7.9367e-05,1.8822e-06,0.66442,0.69112,1.0402,0.75853,1.1416
theta4,mosek,1949,20100,0,0,0,1,-50.3212,-50.3212,-50.3212,-50.3212,2.6466e-05,5.2594e-07,2.441,2.2667,0.92859,2.4114,0.98789
theta5,mosek,3028,31375,0,0,0,1,-57.2323,-57.2323,-57.2323,-57.2322,7.358e-05,1.2856e-06,4.7665,0.028148,0.0059054,5.3129,1.1146
theta6,mosek,4375,45150,0,0,0,1,-63.4771,-63.4771,-63.4771,-63.4771,2.5062e-05,3.9482e-07,13.8427,13.5138,0.97624,12.4578,0.89995
thetaG11,mosek,2401,321201,0,0,0,1,-400,-400,-400,-400,6.1491e-07,1.5373e-09,9.9132,11.8066,1.191,12.0024,1.2108
thetaG51,mosek,6910,501501,0,0,0,1,-349,-349,-349.0005,-348.9984,0.002117,6.0659e-06,76.0829,76.0739,0.99988,129.9417,1.7079
truss1,mosek,6,18,0,1,0,1,9,9,9,9,1.5552e-07,1.728e-08,0.012943,0.071388,5.5156,0.07257,5.6069
truss2,mosek,58,331,0,1,0,1,123.3804,123.3804,123.3804,123.3804,1.0586e-06,8.5799e-09,0.040153,0.34167,8.5092,0.34835,8.6757
truss3,mosek,27,91,0,1,0,1,9.11,9.11,9.11,9.11,3.3684e-08,3.6975e-09,0.019897,0.081468,4.0945,0.089138,4.48
truss4,mosek,12,37,0,1,0,1,9.01,9.01,9.01,9.01,2.3838e-07,2.6457e-08,0.011105,0.071014,6.3948,0.07908,7.1211
truss5,mosek,208,1816,0,1,0,1,132.6357,132.6357,132.6357,132.6357,2.3848e-06,1.798e-08,0.12836,0.43668,3.402,0.44611,3.4755
truss6,mosek,172,901,0,1,0,1,901.0014,901.0014,-Inf,Inf,Inf,NaN,0.21275,0.87121,4.095,3.0757,14.4567
truss7,mosek,86,451,0,1,0,1,900.0014,900.0014,900.0014,900.0028,0.0013708,1.5231e-06,0.095301,0.47604,4.9951,2.941,30.8603
truss8,mosek,496,6271,0,1,0,1,133.1146,133.1146,133.1146,133.1146,1.1139e-05,8.3683e-08,0.63747,0.95378,1.4962,1.0254,1.6085