name,sname,m,n,K_f,K_l,K_q,K_s,fp,fd,fL,fU,fU-fL,mu_fU_fL,ts,tL,tL/ts,tU,tU/ts
buck1,csdp,36,661,0,1,0,1,-146.4192,-146.4192,-146.4192,-146.4192,3.0913e-06,2.1113e-08,0.11004,0.23078,2.0973,0.25415,2.3096
buck1,sdpa,36,661,0,1,0,1,-146.4,-146.4274,-146.4631,-108.7435,37.7196,0.2956,0.32682,1.5583,4.7682,0.44096,1.3493
buck1,sdpt3,36,661,0,1,0,1,-146.4192,-146.4192,-146.4192,-146.4192,8.7403e-07,5.9694e-09,1.6863,0.026807,0.015897,1.6784,0.99535
buck1,sedumi,36,661,0,1,0,1,-146.4192,-146.4192,-146.4192,-146.4191,1.6272e-05,1.1113e-07,0.96669,0.76483,0.79118,0.78823,0.81539
buck2,csdp,144,9553,0,1,0,1,-292.3683,-292.3683,-Inf,-292.3683,Inf,NaN,1.3337,2.2378,1.678,1.4476,1.0854
buck2,sdpa,144,9553,0,1,0,1,-292.45,-292.3718,-292.3791,Inf,Inf,NaN,4.1993,8.5429,2.0343,44.3317,10.5568
buck2,sdpt3,144,9553,0,1,0,1,-292.3683,-292.3683,-Inf,Inf,Inf,NaN,1.7195,1.6869,0.98104,3.5959,2.0913
buck2,sedumi,144,9553,0,1,0,1,-292.3683,-292.3683,-292.3683,-292.3683,1.9461e-05,6.6565e-08,3.1069,3.1912,1.0271,3.2021,1.0307
buck3,csdp,544,103585,0,1,0,1,-607.6037,-607.601,-Inf,Inf,Inf,NaN,88.641,72.2766,0.81539,92.0744,1.0387
buck3,sdpa,544,103585,0,1,0,1,-607.5,-607.6072,-607.6925,Inf,Inf,NaN,48.921,49.2231,1.0062,463.6255,9.477
buck3,sdpt3,544,103585,0,1,0,1,-607.6018,-607.6061,-607.6061,Inf,Inf,NaN,8.6874,0.1932,0.022239,8.7818,1.0109
buck3,sedumi,544,103585,0,1,0,1,-607.589,-607.5889,-607.618,-607.5884,0.029652,4.8801e-05,56.8511,55.5545,0.97719,54.9168,0.96598
buck4,csdp,1200,454129,0,1,0,1,-486.1418,-486.142,-Inf,Inf,Inf,NaN,531.4479,645.1613,1.214,859.0753,1.6165
buck4,sdpa,1200,454129,0,1,0,1,-486.05,-486.1471,-487.9169,Inf,Inf,NaN,270.5413,275.6436,1.0189,2043.3524,7.5528
buck4,sdpt3,1200,454129,0,1,0,1,-486.142,-486.142,-Inf,Inf,Inf,NaN,33.0335,36.1249,1.0936,34.1982,1.0353
buck4,sedumi,1200,454129,0,1,0,1,-486.142,-486.1419,-486.1421,-486.1419,0.0002071,4.2601e-07,406.0453,406.2001,1.0004,808.9415,1.9922
buck5,csdp,3280,3104401,0,1,0,1,-436.2368,-436.2399,-Inf,Inf,Inf,NaN,2944.627,2970.908,1.0089,2867.0752,0.97366
buck5,sdpa,3280,3104401,0,1,0,1,-436.1,-436.2765,-436.2924,Inf,Inf,NaN,2886.2571,11621.6587,4.0266,14282.996,4.9486
buck5,sdpt3,3280,3104401,0,1,0,1,-436.1986,-436.2609,-436.2609,Inf,Inf,NaN,277.3155,19.1074,0.068901,293.6533,1.0589
buck5,sedumi,3280,3104401,0,1,0,1,-436.2251,-436.2006,-436.2822,-436.2258,0.056394,0.00012927,9137.3253,9871.9894,1.0804,11485.7721,1.257
mater-1,csdp,103,1322,0,1,0,1,143.4654,143.4654,143.4654,143.4654,2.0239e-06,1.4107e-08,0.72411,1.1728,1.6197,0.2184,0.30161
mater-1,sdpa,103,1322,0,1,0,1,143.5,143.42,-Inf,161.8,Inf,NaN,1.1975,15.8718,13.2546,7.515,6.2758
mater-1,sdpt3,103,1322,0,1,0,1,143.4654,143.4654,143.4654,143.4654,3.1137e-06,2.1704e-08,22.0457,0.20182,0.0091547,22.5145,1.0213
mater-1,sedumi,103,1322,0,1,0,1,143.4654,143.4654,143.4654,143.4654,5.0359e-06,3.5102e-08,3.4001,0.2024,0.059527,3.8569,1.1344
mater-2,csdp,423,6074,0,1,0,1,141.5919,141.5919,141.5919,141.5919,1.2462e-06,8.8012e-09,10.6976,12.6673,1.1841,0.95748,0.089504
mater-2,sdpa,423,6074,0,1,0,1,141.6,141.58,-Inf,Inf,Inf,NaN,12.6398,150.344,11.8945,150.5051,11.9073
mater-2,sdpt3,423,6074,0,1,0,1,141.5919,141.5919,141.5919,141.5919,8.4204e-07,5.9469e-09,471.872,0.91809,0.0019456,478.5289,1.0141
mater-2,sedumi,423,6074,0,1,0,1,141.5919,141.5919,141.5919,141.5919,1.7765e-05,1.2546e-07,51.9485,103.5353,1.993,52.6262,1.013
mater-3,csdp,1439,21518,0,1,0,1,133.9163,133.9163,133.9163,133.9163,1.2244e-06,9.1431e-09,127.8315,135.4556,1.0596,534.3598,4.1802
mater-3,sdpa,1439,21518,0,1,0,1,133.9,133.92,-Inf,Inf,Inf,NaN,125.1736,1419.4958,11.3402,1422.1849,11.3617
mater-3,sdpt3,1439,21518,0,1,0,1,133.9163,133.9163,133.9163,,,,7641.569,3.2783,0.00042901,,
mater-3,sedumi,1439,21518,0,1,0,1,133.9162,133.9162,133.9162,133.9216,0.0053375,3.9856e-05,179.7999,407.4613,2.2662,918.2233,5.1069
mater-4,csdp,4807,74978,0,1,0,1,134.2627,134.2627,134.2627,134.2627,3.3941e-06,2.5279e-08,1722.9481,1744.4205,1.0125,15654.6986,9.086
mater-4,sdpa,4807,74978,0,1,0,1,134.3,134.24,-Inf,Inf,Inf,NaN,1367.6535,15244.7441,11.1466,15341.2891,11.2172
mater-4,sedumi,4807,74978,0,1,0,1,134.2627,134.2627,134.2627,Inf,Inf,NaN,1170.2745,2095.0888,1.7903,11346.2449,9.6954
mater-5,csdp,10143,160910,0,1,0,1,133.8016,133.8016,133.8016,Inf,Inf,NaN,10212.0359,10261.6079,1.0049,112970.0675,11.0624
mater-5,sdpa,10143,160910,0,1,0,1,133.8,133.82,-Inf,Inf,Inf,NaN,6123.9772,67669.9187,11.05,67970.2081,11.099
mater-5,sedumi,10143,160910,0,1,0,1,133.8016,133.8016,133.8016,Inf,Inf,NaN,2325.0268,24.0162,0.010329,22964.767,9.8772
mater-6,csdp,20463,327758,0,1,0,1,133.5387,133.5387,133.5387,Inf,Inf,NaN,62380.014,62658.1558,1.0045,689905.7384,11.0597
mater-6,sdpa,20463,327758,0,1,0,1,133.5,133.58,-Inf,Inf,Inf,NaN,24713.302,273152.0163,11.0528,273853.2903,11.0812
mater-6,sedumi,20463,327758,0,1,0,1,133.5385,133.5385,133.5385,Inf,Inf,NaN,3955.4685,48.7713,0.01233,47101.6168,11.908
shmup1,csdp,16,1713,0,1,0,1,-188.4148,-188.4148,-188.415,-188.4148,0.00016414,8.7116e-07,0.22574,0.69653,3.0856,0.36482,1.6161
shmup1,sdpa,16,1713,0,1,0,1,-188.312,-188.402,-188.4422,338.2105,526.6527,2,0.77915,0.86213,1.1065,0.89651,1.1506
shmup1,sdpt3,16,1713,0,1,0,1,-188.4148,-188.4148,-188.4148,-188.4148,3.5777e-06,1.8988e-08,1.1466,0.027245,0.023761,0.04138,0.036089
shmup1,sedumi,16,1713,0,1,0,1,-188.4148,-188.4148,-188.4148,-188.4148,4.8816e-05,2.5909e-07,0.98753,1.0593,1.0727,1.0948,1.1086
shmup2,csdp,200,194881,0,1,0,1,-3462.4266,-3462.4259,-Inf,Inf,Inf,NaN,301.9036,308.488,1.0218,255.0516,0.84481
shmup2,sdpa,200,194881,0,1,0,1,-3462.2557,-3462.4278,-3462.5083,11364812.9892,11368275.4975,2,100.2968,100.0774,0.99781,171.9144,1.7141
shmup2,sdpt3,200,194881,0,1,0,1,-3462.4268,-3462.4268,-3462.4268,-3462.4264,0.0004599,1.3283e-07,14.6248,15.0441,1.0287,15.5189,1.0611
shmup2,sedumi,200,194881,0,1,0,1,-3462.423,-3462.423,-3462.429,-3462.423,0.0060315,1.742e-06,106.3824,107.285,1.0085,0.38962,0.0036624
shmup3,csdp,420,812641,0,1,0,1,-2098.8373,-2098.8314,-Inf,Inf,Inf,NaN,2918.0916,3184.7083,1.0914,2605.5943,0.89291
shmup3,sdpa,420,812641,0,1,0,1,-2098.8036,-2098.8472,-2098.8873,Inf,Inf,NaN,516.7114,526.5351,1.019,3656.9897,7.0774
shmup3,sdpt3,420,812641,0,1,0,1,-2098.8378,-2098.8379,-2098.8379,-2098.837,0.00088231,4.2038e-07,65.888,70.6208,1.0718,138.0498,2.0952
shmup3,sedumi,420,812641,0,1,0,1,-2098.8324,-2098.8324,-2098.8411,-2098.8321,0.0090743,4.3235e-06,951.1032,949.5319,0.99835,954.1188,1.0032
shmup4,csdp,800,2827361,0,1,0,1,-7992.5431,-7992.3916,-Inf,Inf,Inf,NaN,2809.3108,2437.3707,0.8676,2580.1708,0.91844
shmup4,sdpa,800,2827361,0,1,0,1,-7992.215,-7992.5986,-7992.5986,Inf,Inf,NaN,2447.1427,15.8595,0.0064808,13081.3687,5.3456
shmup4,sdpt3,800,2827361,0,1,0,1,-7992.5514,-7992.5515,-7992.5516,-7992.5445,0.0070898,8.8706e-07,381.5631,414.0812,1.0852,407.4241,1.0678
shmup4,sedumi,800,2827361,0,1,0,1,-7992.0691,-7992.069,-7992.8665,-7992.0691,0.79744,9.9774e-05,8866.1262,8912.421,1.0052,12.665,0.0014285
shmup5,csdp,1800,13849441,0,1,0,1,-23858.8536,-23856.3622,-Inf,Inf,Inf,NaN,27042.5976,25970.0753,0.96034,20954.9303,0.77489
shmup5,sdpa,1800,13849441,0,1,0,1,-23840.5241,-23858.8615,-23859.1439,Inf,Inf,NaN,23342.3123,23315.0374,0.99883,67573.3412,2.8949
shmup5,sdpt3,1800,13849441,0,1,0,1,-23858.9256,-23858.9268,-Inf,Inf,Inf,NaN,2371.3663,2543.0442,1.0724,2750.1688,1.1597
shmup5,sedumi,1800,13849441,0,1,0,1,-327.1026,-327.1012,-Inf,982586.0209,Inf,NaN,93959.4167,20685.6467,0.22016,93703.659,0.99728
trto1,csdp,36,361,0,1,0,1,-1104.5,-1104.5,-1104.5,-1104.5,6.587e-06,5.9638e-09,0.064422,0.15733,2.4421,0.18286,2.8384
trto1,sdpa,36,361,0,1,0,1,-1103.5,-1104.5,-1104.5,Inf,Inf,NaN,0.18502,0.015489,0.083715,2.5987,14.0457
trto1,sdpt3,36,361,0,1,0,1,-1104.5,-1104.5,-1104.5,-1104.5,3.0775e-06,2.7864e-09,0.78331,0.015642,0.019969,0.028529,0.036421
trto1,sedumi,36,361,0,1,0,1,-1104.5,-1104.5,-1104.5,-1104.5,1.8316e-05,1.6583e-08,0.53707,0.60903,1.134,0.60383,1.1243
trto2,csdp,144,4897,0,1,0,1,-12799.9993,-12800,-Inf,Inf,Inf,NaN,1.179,1.1578,0.98203,1.2302,1.0434
trto2,sdpa,144,4897,0,1,0,1,-12800,-12799.9306,-12800.1541,Inf,Inf,NaN,2.1611,2.2309,1.0323,23.3588,10.8086
trto2,sdpt3,144,4897,0,1,0,1,-12799.9998,-12800,-Inf,Inf,Inf,NaN,1.1001,1.116,1.0144,1.1528,1.0479
trto2,sedumi,144,4897,0,1,0,1,-12799.9998,-12799.9998,-12800.0002,-12799.9983,0.0018478,1.4436e-07,4.1871,3.6023,0.86033,3.1027,0.74102
trto3,csdp,544,52225,0,1,0,1,-12799.9965,-12800.0002,-Inf,Inf,Inf,NaN,27.5141,27.8699,1.0129,26.3232,0.95672
trto3,sdpa,544,52225,0,1,0,1,-12800,-12800.0881,-12800.0881,Inf,Inf,NaN,24.0172,0.093581,0.0038964,232.8538,9.6953
trto3,sdpt3,544,52225,0,1,0,1,-12799.9957,-12800.0064,-Inf,Inf,Inf,NaN,4.0373,4.2418,1.0507,4.0518,1.0036
trto3,sedumi,544,52225,0,1,0,1,-12799.9999,-12799.9993,-12800.0012,-12799.9994,0.001837,1.4352e-07,21.282,21.4918,1.0099,43.1887,2.0294
trto4,csdp,1200,228001,0,1,0,1,NaN,NaN,,,,,214.1878,,,,
trto4,sdpa,1200,228001,0,1,0,1,-12775,-12765.7215,-12765.9183,Inf,Inf,NaN,120.4601,122.1716,1.0142,1018.5538,8.4555
trto4,sdpt3,1200,228001,0,1,0,1,-12765.8032,-12765.8324,-Inf,Inf,Inf,NaN,16.1688,17.5302,1.0842,17.1083,1.0581
trto4,sedumi,1200,228001,0,1,0,1,-12765.8128,-12765.8128,-12765.8361,-12765.8084,0.027743,2.1732e-06,189.3172,357.4278,1.888,184.9525,0.97695
trto5,csdp,3280,1554721,0,1,0,1,NaN,NaN,,,,,1143.8068,,,,
trto5,sdpa,3280,1554721,0,1,0,1,-12780,-12803.0459,-12803.0459,Inf,Inf,NaN,1162.0852,9.5574,0.0082244,7020.1392,6.041
trto5,sdpt3,3280,1554721,0,1,0,1,-12798.0267,-12800.0438,-Inf,Inf,Inf,NaN,108.9755,118.6313,1.0886,118.6585,1.0889
trto5,sedumi,3280,1554721,0,1,0,1,-12796.3534,-12796.3526,-12801.2372,-12795.334,5.9031,0.00046124,4220.7463,4017.1512,0.95176,4144.5849,0.98196
vibra1,csdp,36,661,0,1,0,1,-40.819,-40.819,-40.819,-40.819,4.0357e-07,9.8869e-09,0.31598,0.30091,0.95229,0.16493,0.52197
vibra1,sdpa,36,661,0,1,0,1,-40.809,-40.819,-40.8215,-31.8503,8.9712,0.2469,0.41751,2.7425,6.5689,0.89076,2.1335
vibra1,sdpt3,36,661,0,1,0,1,-40.819,-40.819,-40.819,-40.819,1.4846e-07,3.6371e-09,1.3484,0.026118,0.019369,0.039227,0.029091
vibra1,sedumi,36,661,0,1,0,1,-40.819,-40.819,-40.819,-40.819,1.9687e-06,4.8229e-08,1.144,0.94472,0.82579,0.96643,0.84477
vibra2,csdp,144,9553,0,1,0,1,-166.0153,-166.0154,-Inf,Inf,Inf,NaN,2.5756,2.5368,0.98495,2.5287,0.98181
vibra2,sdpa,144,9553,0,1,0,1,-165.934,-166.021,-166.021,Inf,Inf,NaN,4.3164,0.035307,0.0081798,44.8018,10.3795
vibra2,sdpt3,144,9553,0,1,0,1,-166.0153,-166.0154,-166.0154,-166.0153,3.0922e-05,1.8626e-07,1.8861,0.035563,0.018855,0.047822,0.025355
vibra2,sedumi,144,9553,0,1,0,1,-166.0153,-166.0153,-166.0154,-166.0153,7.8772e-05,4.7449e-07,2.7567,2.8435,1.0315,2.8564,1.0362
vibra3,csdp,544,103585,0,1,0,1,-172.613,-172.613,-Inf,Inf,Inf,NaN,81.5733,75.7807,0.92899,75.9055,0.93052
vibra3,sdpa,544,103585,0,1,0,1,-172.6142,-172.5957,-172.6225,Inf,Inf,NaN,50.6937,51.2386,1.0107,461.4895,9.1035
vibra3,sdpt3,544,103585,0,1,0,1,-172.6124,-172.6132,-172.6132,Inf,Inf,NaN,8.6738,0.17395,0.020055,8.838,1.0189
vibra3,sedumi,544,103585,0,1,0,1,-172.6128,-172.6128,-172.6132,-172.6128,0.00035545,2.0592e-06,48.2785,48.7585,1.0099,0.20184,0.0041808
vibra4,csdp,1200,454129,0,1,0,1,-165.6132,-165.6132,-Inf,Inf,Inf,NaN,531.9994,515.8132,0.96957,526.112,0.98893
vibra4,sdpa,1200,454129,0,1,0,1,-165.6199,-165.6104,-165.617,Inf,Inf,NaN,263.012,530.0498,2.0153,2030.1515,7.7189
vibra4,sdpt3,1200,454129,0,1,0,1,-165.6131,-165.6133,-Inf,Inf,Inf,NaN,41.34,42.7932,1.0352,43.0463,1.0413
vibra4,sedumi,1200,454129,0,1,0,1,-165.6112,-165.6112,-165.6149,-165.6112,0.0037061,2.2378e-05,391.0607,392.4622,1.0036,1.1814,0.0030211
vibra5,csdp,3280,3104401,0,1,0,1,NaN,NaN,,,,,2245.1182,,,,
vibra5,sdpa,3280,3104401,0,1,0,1,-165.806,-165.907,-165.907,Inf,Inf,NaN,3143.554,19.0335,0.0060548,14137.9296,4.4974
vibra5,sdpt3,3280,3104401,0,1,0,1,-165.8972,-165.9044,-165.9044,Inf,Inf,NaN,436.7504,19.0779,0.043682,454.3481,1.0403
vibra5,sedumi,3280,3104401,0,1,0,1,-165.9005,-165.8968,-165.907,-165.9003,0.0067418,4.0637e-05,11181.5082,10955.1303,0.97975,11108.2792,0.99345